,programmer,contest,round,WordUnigramTF,numTokens,numTernary,numKeywords,avgParams,numFunctions,numComments,avgLineLength,stdDevLineLength,numTabs,numSpaces,numEmptyLines,whiteSpaceRatio,newLineBeforeOpenBrace,tabsLeadLines,cppKeywords,MaxDepthASTNode,branchingFactor,ASTNodeBigramsTF,CodeInASTLeavesTF
0,gennady.korotkevich,LTIME110A,LARGEFAM,96,0.1696113074204947,0.01060070671378092,0.007067137809187279,0,0.0035335689045936395,0.0017667844522968198,16.647058823529413,9.73738204018615,0.0,0.2597173144876325,0.0,2,False,False,20,195,0.8081841432225064,153,76
1,noimi,LTIME110A,LARGEFAM,3133,0.13445774859448092,0.004849577271361744,0.00021458306510450196,0,0.001759581133856916,0.0009012488734389082,41.75806451612903,38.01910335489011,0.0,0.32547959315050856,0.0,2,False,False,854,4355,0.812476465419857,3274,1439
2,maroonrk,LTIME110A,LARGEFAM,554,0.0954514128187457,0.008787043418332184,0.0005168849069607167,0,0.0031013094417643005,0.0005168849069607167,21.182481751824817,14.926935912594992,0.0,0.1474844934527912,0.0,4,False,False,291,1906,0.8186874304783093,1118,501
3,ksun48,LTIME110A,LARGEFAM,62,0.14058956916099774,0.009070294784580499,0.006802721088435374,0,0.009070294784580499,0.0,18.375,10.873563123466015,0.0,0.30385487528344673,0.0,2,False,False,20,208,0.8272251308900523,149,68
4,tute7627,LTIME110A,LARGEFAM,625,0.08574564412127864,0.006859651529702291,0.0006859651529702291,0,0.00425298394841542,0.00027438606118809165,44.17575757575757,35.599106477576605,0.0,0.09246810262038689,0.0,8,False,False,383,3965,0.8200342791849171,2083,911
5,heno239,LTIME110A,LARGEFAM,919,0.170817843866171,0.006319702602230483,0.0007434944237918215,0,0.0027881040892193307,0.0024163568773234202,24.90740740740741,16.025175238561722,0.0,0.2191449814126394,0.0,3,False,False,256,1957,0.8233931673422119,1301,547
6,rubikun,LTIME110A,LARGEFAM,93,0.10391061452513967,0.00782122905027933,0.0033519553072625698,0,0.004469273743016759,0.0,27.96875,19.771324524105612,0.0,0.26033519553072626,0.0,2,False,False,38,360,0.810580204778157,228,106
7,gennady.korotkevich,LTIME110A,STRINGXOR,113,0.1674074074074074,0.01037037037037037,0.005925925925925926,0,0.0014814814814814814,0.0014814814814814814,17.307692307692307,10.486019621146482,0.0,0.2814814814814815,0.0,2,False,False,19,199,0.811704834605598,156,78
8,noimi,LTIME110A,STRINGXOR,3161,0.13453353762342526,0.0050221314266258085,0.00021280217909431392,0,0.001957780047667688,0.0008937691521961185,41.733570159857905,37.86134457476177,0.0,0.32545965270684374,0.0,2,False,False,865,4355,0.8116261004660797,3178,1388
9,maroonrk,LTIME110A,STRINGXOR,558,0.09566260929195954,0.009086233499057088,0.0005143151037202125,0,0.0030858906223212757,0.0003428767358134751,21.21090909090909,14.95274584363898,0.0,0.14589405108863363,0.0,4,False,False,294,1906,0.8192279138827023,1125,508
